block_fips,block_name,town,county,town_fips
090034602021025,Block 1025,Farmington,Hartford,0900327600
090052611002049,Block 2049,Salisbury,Litchfield,0900566420
090075851001020,Block 1020,Durham,Middlesex,0900720810
090116601022043,Block 2043,Old Lyme,New London,0901157040
090012304002016,Block 2016,Newtown,Fairfield,0900152980
090053621022024,Block 2024,Woodbury,Litchfield,0900587910
090075601001020,Block 1020,Portland,Middlesex,0900761800
090010104003002,Block 3002,Greenwich,Fairfield,0900133620
090035113001002,Block 1002,East Hartford,Hartford,0900322630
090091201004009,Block 4009,Derby,New Haven,0900919550
090054256002097,Block 2097,Norfolk,Litchfield,0900553470
090010101013002,Block 3002,Greenwich,Fairfield,0900133620
090075411001020,Block 1020,Middletown,Middlesex,0900747360
090079901000004,Block 0004,County subdivisions not defined,,
090034664001029,Block 1029,Simsbury,Hartford,0900368940
090117053002034,Block 2034,Stonington,New London,0901173770
090119901000017,Block 0017,Waterford,New London,0901180280
090093442001062,Block 1062,Middlebury,New Haven,0900946940
090012304002019,Block 2019,Newtown,Fairfield,0900152980
090091847003010,Block 3010,Branford,New Haven,0900907310
090034204001015,Block 1015,Plainville,Hartford,0900360120
090093442001053,Block 1053,Middlebury,New Haven,0900946940
090117071003022,Block 3022,North Stonington,New London,0901155500
090117081001033,Block 1033,Voluntown,New London,0901178600
090116601023051,Block 3051,Old Lyme,New London,0901157040
090010704001024,Block 1024,Bridgeport,Fairfield,0900108070
090076702001020,Block 1020,Old Saybrook,Middlesex,0900757320
090075901005059,Block 5059,Haddam,Middlesex,0900735230
090053107003065,Block 3065,Torrington,Litchfield,0900576570
090012114002002,Block 2002,Danbury,Fairfield,0900118500
090117001003071,Block 3071,Preston,New London,0901162150
090116933003000,Block 3000,Waterford,New London,0901180280
090075601001041,Block 1041,Portland,Middlesex,0900761800
090052611002056,Block 2056,Salisbury,Litchfield,0900566420
090075901002029,Block 2029,Haddam,Middlesex,0900735230
090116501002019,Block 2019,Lyme,New London,0901144210
090116936001004,Block 1004,Waterford,New London,0901180280
090099900000042,Block 0042,County subdivisions not defined,,
090052534002038,Block 2038,New Milford,Litchfield,0900552630
090116967003027,Block 3027,Norwich,New London,0901156270
090075951022008,Block 2008,East Haddam,Middlesex,0900722280
090034714002007,Block 2007,Bloomfield,Hartford,0900305910
090135261021019,Block 1019,Hebron,Tolland,0901337910
090035102002008,Block 2008,East Hartford,Hartford,0900322630
090053005002082,Block 2082,Litchfield,Litchfield,0900543370
090034001002031,Block 2031,Berlin,Hartford,0900304300
090138811003007,Block 3007,Mansfield,Tolland,0901344910
090012571003007,Block 3007,Sherman,Fairfield,0900168310
090116933002036,Block 2036,Waterford,New London,0901180280
090117001002020,Block 2020,Preston,New London,0901162150
090117001003045,Block 3045,Preston,New London,0901162150
090076801003019,Block 3019,Westbrook,Middlesex,0900781680
090116935001051,Block 1051,Waterford,New London,0901180280
090159045001027,Block 1027,Killingly,Windham,0901540500
090010101023008,Block 3008,Greenwich,Fairfield,0900133620
090034736011020,Block 1020,Windsor,Hartford,0900387000
090010446001023,Block 1023,Norwalk,Fairfield,0900156060
090034664002007,Block 2007,Simsbury,Hartford,0900368940
090091903021010,Block 1010,Guilford,New Haven,0900934950
090117141041019,Block 1019,Colchester,New London,0901115910
090093481252045,Block 2045,Southbury,New Haven,0900969640
090012113002007,Block 2007,Danbury,Fairfield,0900118500
090138902022063,Block 2063,Stafford,Tolland,0901372090
090158301004021,Block 4021,Ashford,Windham,0901501430
090116501003012,Block 3012,Lyme,New London,0901144210
090116501003037,Block 3037,Lyme,New London,0901144210
090117071002010,Block 2010,North Stonington,New London,0901155500
090138902012110,Block 2110,Union,Tolland,0901377830
090093442001072,Block 1072,Middlebury,New Haven,0900946940
090093454001002,Block 1002,Naugatuck,New Haven,0900949950
090012110001001,Block 1001,Danbury,Fairfield,0900118500
090091505001008,Block 1008,Milford,New Haven,0900947535
090091546002014,Block 2014,West Haven,New Haven,0900982870
090076701001025,Block 1025,Old Saybrook,Middlesex,0900757320
090034003004020,Block 4020,Berlin,Hartford,0900304300
090010102013002,Block 3002,Greenwich,Fairfield,0900133620
090075601001034,Block 1034,Portland,Middlesex,0900761800
090012109001008,Block 1008,Danbury,Fairfield,0900118500
090034602032006,Block 2006,Farmington,Hartford,0900327600
090010808001016,Block 1016,Stratford,Fairfield,0900174190
090035007001036,Block 1036,Hartford,Hartford,0900337070
090159071002019,Block 2019,Plainfield,Windham,0901559980
090138902012118,Block 2118,Union,Tolland,0901377830
